,0,1,2,3
35,0.0025270851,0.9923753,0.0025797084,0.0025178522
36,0.0025270851,0.9923753,0.0025797084,0.0025178522
37,0.0025865363,0.0027319998,0.9921044,0.0025770864
38,0.0025270851,0.9923753,0.0025797084,0.0025178522
39,0.0025865363,0.0027319998,0.9921044,0.0025770864
40,0.0025865363,0.0027319998,0.9921044,0.0025770864
41,0.0025865363,0.0027319998,0.9921044,0.0025770864
42,0.0025270851,0.9923753,0.0025797084,0.0025178522
43,0.0025865363,0.0027319998,0.9921044,0.0025770864
44,0.0025865363,0.0027319998,0.9921044,0.0025770864
45,0.0025270851,0.9923753,0.0025797084,0.0025178522
46,0.0025270851,0.9923753,0.0025797084,0.0025178522
47,0.0027042085,0.0028562897,0.0033188646,0.99112064
48,0.9916289,0.0030595933,0.0026879767,0.002623526
49,0.0025865363,0.0027319998,0.9921044,0.0025770864
50,0.0025270851,0.9923753,0.0025797084,0.0025178522
51,0.9916289,0.0030595933,0.0026879767,0.002623526
52,0.9916289,0.0030595933,0.0026879767,0.002623526
53,0.0025270851,0.9923753,0.0025797084,0.0025178522
54,0.0025270851,0.9923753,0.0025797084,0.0025178522
55,0.0025270851,0.9923753,0.0025797084,0.0025178522
56,0.0025270851,0.9923753,0.0025797084,0.0025178522
57,0.0025270851,0.9923753,0.0025797084,0.0025178522
58,0.9916289,0.0030595933,0.0026879767,0.002623526
59,0.9916289,0.0030595933,0.0026879767,0.002623526
60,0.0025270851,0.9923753,0.0025797084,0.0025178522
61,0.0025270851,0.9923753,0.0025797084,0.0025178522
62,0.0027042085,0.0028562897,0.0033188646,0.99112064
63,0.9916289,0.0030595933,0.0026879767,0.002623526
64,0.0025865363,0.0027319998,0.9921044,0.0025770864
65,0.0025270851,0.9923753,0.0025797084,0.0025178522
66,0.0025865363,0.0027319998,0.9921044,0.0025770864
67,0.0025270851,0.9923753,0.0025797084,0.0025178522
68,0.0025270851,0.9923753,0.0025797084,0.0025178522
69,0.9916289,0.0030595933,0.0026879767,0.002623526
70,0.9916289,0.0030595933,0.0026879767,0.002623526
71,0.9916289,0.0030595933,0.0026879767,0.002623526
72,0.0025270851,0.9923753,0.0025797084,0.0025178522
73,0.0025865363,0.0027319998,0.9921044,0.0025770864
74,0.0025270851,0.9923753,0.0025797084,0.0025178522
75,0.0025865363,0.0027319998,0.9921044,0.0025770864
76,0.0025270851,0.9923753,0.0025797084,0.0025178522
77,0.0025865363,0.0027319998,0.9921044,0.0025770864
78,0.9916289,0.0030595933,0.0026879767,0.002623526
79,0.0025270851,0.9923753,0.0025797084,0.0025178522
80,0.0025865363,0.0027319998,0.9921044,0.0025770864
81,0.0027042085,0.0028562897,0.0033188646,0.99112064
82,0.0025865363,0.0027319998,0.9921044,0.0025770864
83,0.0025270851,0.9923753,0.0025797084,0.0025178522
84,0.0025270851,0.9923753,0.0025797084,0.0025178522
85,0.9916289,0.0030595933,0.0026879767,0.002623526
86,0.0025270851,0.9923753,0.0025797084,0.0025178522
